#{"t_start": 1730028739.5769324, "env_id": "None"}
r,l,t
0.555377,4,146.433121
41.895104,116,146.879575
59.46668,160,147.482144
51.417663,139,148.0195
42.945589,116,148.485008
47.914112,130,149.01105
45.404063,127,149.519989
49.245094,141,150.076235
20.78558,57,150.347127
-0.143657,2,150.43658
44.665765,119,150.921665
42.219316,109,151.361428
48.473173,126,151.860044
40.72778,112,152.342703
46.810715,125,152.876319
39.509491,117,153.360204
50.665354,135,153.878342
42.988915,121,154.394551
40.482836,112,154.846868
45.086527,123,155.348539
50.375558,140,155.90614
32.807738,89,156.293257
39.539405,119,156.778233
152.813508,421,158.265185
93.997683,252,159.184391
45.073666,131,159.698535
10.948448,33,159.892451
43.503217,123,160.387664
151.210541,415,161.873789
40.002173,111,162.355067
47.746788,123,162.857922
41.058046,110,163.350026
48.871983,129,163.923571
40.312534,112,164.405491
43.859378,115,164.896504
20.966557,58,165.177295
44.673079,120,165.670465
4.996563,17,165.813788
44.943393,117,166.319046
39.700921,111,166.790028
43.437307,117,167.302989
44.690301,120,167.807441
2.30712,9,167.927678
43.495154,125,168.509549
46.012421,127,169.073767
21.511624,57,169.409163
44.671933,122,169.965079
38.961064,106,170.454441
39.077292,119,170.984017
0.569701,4,171.08621
31.46624,86,171.458413
40.53845,107,171.902002
21.235767,61,172.204005
39.16166,117,172.6757
141.461607,401,174.09778
20.465733,58,174.368478
147.76021,406,175.849977
60.121508,160,176.510993
145.029868,430,178.114884
45.761952,121,178.629202
144.864548,421,180.160107
134.33925,366,181.478131
267.581159,793,184.271189
6.878632,22,184.455405
217.690628,665,186.832043
340.41497,989,190.288229
170.787215,503,192.09006
430.218896,1275,196.561352
190.053297,547,198.556407
208.856176,597,200.789024
467.601151,1410,205.789498
577.111828,1713,211.847499
187.256192,539,213.767522
190.087119,552,215.692095
131.459805,378,217.069393
352.716449,1085,220.835728
136.047666,379,222.171576
355.352874,1093,225.865263
447.456021,1381,230.437746
378.620402,1088,233.998469
277.709301,811,236.683455
1019.164519,3103,247.269486
53.187757,148,247.858097
179.367797,515,249.674517
336.876579,981,253.18654
243.581159,718,255.803237
1033.638009,3113,266.4273
346.403898,1089,270.146002
129.331118,379,271.532107
168.451345,506,273.296682
972.208689,2979,283.197409
0.028238,3,283.29352
143.489785,405,284.746994
820.153556,2529,293.508389
125.78296,377,294.816098
258.028882,807,297.606605
353.441937,1095,301.720087
420.46286,1373,306.39707
127.175413,373,307.72397
980.765103,3112,317.898435
165.33463,520,319.843153
165.4645,520,321.805141
166.592321,510,323.72317
148.491133,428,325.39099
697.877969,2157,333.181737
1367.23129,4149,348.766462
8.330589,26,348.962169
29.274287,80,349.351053
171.031591,517,351.348308
127.323234,372,352.790335
165.463506,517,354.775606
166.394904,514,356.787239
58.516647,170,357.447356
1044.652407,3289,368.697121
1047.684804,3295,380.578461
53.697019,156,381.191458
172.304824,510,382.979573
259.129989,797,385.722497
418.728063,1267,390.118577
363.280081,1089,394.373538
145.050361,405,395.915949
493.752829,1576,401.452593
144.390869,406,403.036145
46.44858,127,403.582689
43.537679,130,404.124052
148.064235,435,405.761071
53.129792,148,406.409577
39.464578,115,406.948009
171.358688,507,409.007993
56.651422,152,409.68612
150.58984,427,411.475541
132.360393,377,412.917018
49.17501,131,413.468678
258.788922,805,416.311316
48.608292,145,416.913749
85.020631,236,417.84949
9.665998,31,418.067416
8.069262,26,418.251136
2.270603,9,418.369279
60.671865,190,419.12429
893.502516,2820,428.856434
137.901795,384,430.278104
168.796602,516,432.120124
972.411703,3002,442.494652
45.157661,123,443.004674
844.291301,2537,452.381423
192.603936,550,454.594011
58.352017,158,455.308256
57.292499,157,455.981095
110.670117,302,457.178734
287.224615,845,460.377052
363.300641,1096,464.709159
238.389593,694,467.524302
121.296273,326,468.965056
