#{"t_start": 1729983427.5233574, "env_id": "None"}
r,l,t
12.477957,37,543.423753
44.081293,131,547.497024
12.752054,39,548.775025
57.653417,157,553.80154
18.443254,53,555.702086
0.012477,3,555.961633
-0.5,1,556.182693
31.255705,89,559.104748
198.068987,554,574.785118
52.688854,140,578.881441
6.849066,21,579.848442
43.743255,124,584.422442
6.373907,21,585.293442
17.020037,50,587.267442
51.782798,146,592.357442
43.66086,121,596.645454
5.329907,18,597.382441
22.388458,65,599.681442
11.027201,34,600.970442
233.252503,702,623.969981
41.357982,116,628.085982
8.597493,27,629.131274
0.176427,3,629.411273
3.336947,12,629.992273
163.113412,477,646.738333
19.290067,55,648.668333
16.886811,51,651.319548
-0.5,1,651.575552
49.394719,136,656.364062
12.534739,38,657.729892
20.679443,61,659.868891
5.77109,19,660.734891
20.074641,56,662.793919
188.376234,546,680.892214
47.981134,135,685.569433
41.534428,117,689.504044
13.498622,40,690.94766
41.930107,113,694.754661
38.930981,112,698.710659
9.855945,29,699.823662
-0.5,1,700.108662
100.292273,273,708.957209
132.346931,380,721.42221
171.70322,484,737.432394
7.851107,24,738.279394
133.062216,374,749.055394
131.145406,369,761.004095
66.108935,175,766.579095
42.052547,114,770.551124
