#{"t_start": 1729962371.660071, "env_id": "None"}
r,l,t
0.728218,7,23.665417
0.247365,4,23.753372
-0.5,1,23.837373
0.269724,5,23.927983
0.341216,4,24.016987
-0.305517,2,24.102
1.026791,7,24.195368
0.397093,4,24.283435
-0.5,1,24.36469
-0.5,1,24.445379
-0.237174,2,24.529241
-0.217991,2,24.614437
0.090273,3,24.70369
0.049391,3,24.787374
0.827283,6,24.88387
0.365599,5,24.975411
0.613436,5,25.06781
0.470046,5,25.162428
-0.205633,2,25.248383
0.498774,8,25.343381
0.666545,5,25.435955
-0.5,1,25.520959
-0.5,1,25.604095
0.969065,7,25.701911
-0.20578,2,25.784139
0.44061,5,25.875911
-0.007402,3,25.963029
0.339693,5,26.055714
0.081164,4,26.148199
-0.074537,4,26.241
-0.5,1,26.322374
-0.5,1,26.407719
0.335231,4,26.497216
-0.493145,2,26.580923
-0.392383,2,26.666143
-0.166794,2,26.750188
-0.048768,4,26.838399
-0.5,1,26.922977
1.195126,7,27.017868
0.341378,4,27.108371
-0.256298,2,27.197978
0.47101,4,27.289868
0.935328,7,27.384028
0.261837,4,27.480212
-0.171552,2,27.565861
-0.220684,2,27.657914
-0.195704,2,27.744024
0.029194,3,27.836962
0.299468,4,27.930097
0.1124,3,28.023247
0.445941,5,28.117063
-0.5,1,28.199394
-0.196659,2,28.288577
0.888837,6,28.385003
0.051627,4,28.474403
-0.336079,2,28.560498
-0.5,1,28.643902
-0.211667,2,28.726934
0.523463,7,28.82088
-0.255129,2,28.904937
0.74791,5,28.996973
-0.5,1,29.082516
-0.260213,2,29.168267
-0.323806,2,29.252366
0.281593,5,29.345904
-0.02812,3,29.431891
0.15919,4,29.522429
0.084081,5,29.611408
-0.5,1,29.69737
-0.5,1,29.77911
0.322583,4,29.869959
-0.022636,3,29.957242
0.719636,5,30.053548
-0.174859,2,30.138261
-0.251498,2,30.22455
-0.205569,2,30.309464
-0.5,1,30.390369
-0.5,1,30.477202
-0.5,1,30.559877
-0.5,1,30.642913
0.889974,6,30.738101
-0.096175,3,30.826963
-0.5,1,30.912383
-0.18522,2,30.999879
-0.042295,3,31.084225
0.631515,5,31.175369
0.554572,5,31.268977
-0.182256,2,31.353367
0.058719,3,31.443446
-0.156942,3,31.535513
-0.155618,2,31.621882
-0.113029,3,31.711365
-0.5,1,31.793486
0.076854,3,31.878448
-0.323887,2,31.965356
0.466947,5,32.060391
1.396635,9,32.157101
-0.5,1,32.241386
-0.5,1,32.323356
0.07797,4,32.411962
-0.395827,2,32.499947
-0.225802,4,32.619939
0.068201,3,32.706093
1.589827,9,32.805401
-0.5,1,32.885691
-0.5,1,32.968469
-0.221842,3,33.056919
-0.054006,3,33.184888
0.398347,4,33.27611
-0.236187,2,33.360875
0.098738,3,33.450385
1.267804,11,33.556999
-0.169953,2,33.644386
-0.225311,2,33.7303
-0.055047,3,33.817464
0.052631,4,33.9079
0.11313,4,34.019019
-0.222726,3,34.109915
0.319196,4,34.200884
1.211891,6,34.296901
-0.5,1,34.379411
0.923934,6,34.474367
0.813933,5,34.565764
-0.174184,2,34.651003
0.02961,3,34.735071
-0.226244,2,34.821873
-0.203909,2,34.905445
-0.006824,3,34.992429
0.129369,3,35.078882
-0.267675,2,35.163964
0.116471,3,35.250549
0.389342,5,35.340889
0.014921,3,35.428294
0.005916,3,35.514369
0.223844,4,35.602446
-0.216891,2,35.689893
-0.5,1,35.77346
1.488879,8,35.874465
-0.09291,3,35.962381
-0.5,1,36.046083
0.953924,7,36.146342
0.183589,4,36.235933
-0.101667,3,36.323974
0.02699,5,36.414892
1.105276,7,36.509532
0.149806,3,36.597396
0.095116,4,36.684917
-0.03487,4,36.775884
